"video_id","start_time","channel_id"
"c7UZ0rK4JHY","2026-02-19 08:54:03.9132","UC1TWG3vZgFm-n6NpeKDx4jA"
"MHZckwS45k0","2026-02-19 14:54:09.979683","UCCv-2IH7-YazDLVZ7BEIhkg"
"pNlDAWSTOsA","2026-02-19 15:55:50.502278","UC1TWG3vZgFm-n6NpeKDx4jA"
"ejt_aRJ4Iw0","2026-02-19 17:01:12.318985","UCYxE-PBo06P035AxeZdQm4w"
"iFVm9P3cHg4","2026-02-19 17:58:25.985571","UCjYFwkKvItvRTZYTMQfbTUA"
"3SrUqb16FWg","2026-02-19 20:39:25.19418","UCAMl62VX7wwiL80MhgBo8ew"
"2I8A2u7fn40","2026-02-19 22:38:25.50213","UC98oVGbwlYH7DUSx1TwcVnw"
"X66d8XL4i08","2026-02-19 22:38:25.50213","UC79hvLewinJiByC0NyWBTBQ"
"VZ_Uee7-Ypg","2026-02-20 13:10:41.688943","UCxlNthtlYn3rWyjA1XCOLuw"
"UO1fEiz_BXM","2026-02-20 14:44:16.940948","UC98oVGbwlYH7DUSx1TwcVnw"
"JyCM8AeWw2g","2026-02-20 14:44:16.940948","UCJ0cTCw8QxUB0U2lFtjpaEQ"
