2026-02-10 07:11:04.271721,"B_Kj7sesOfI","4314","225","19"
2026-02-10 07:11:04.325034,"REW3lRC_86U","0","0","0"
2026-02-10 12:07:11.45411,"B_Kj7sesOfI","4707","239","19"
2026-02-10 12:07:11.458094,"REW3lRC_86U","0","0","0"
2026-02-10 13:14:44.618525,"B_Kj7sesOfI","4800","241","19"
2026-02-10 13:14:44.622896,"REW3lRC_86U","0","0","0"
2026-02-10 13:22:14.523786,"B_Kj7sesOfI","4805","243","19"
2026-02-10 13:22:14.524468,"REW3lRC_86U","0","0","0"
2026-02-10 14:53:31.100698,"B_Kj7sesOfI","4941","245","19"
2026-02-10 14:53:31.101455,"REW3lRC_86U","0","0","0"
2026-02-10 15:59:32.22946,"B_Kj7sesOfI","5058","247","19"
2026-02-10 15:59:32.230229,"REW3lRC_86U","0","0","0"
2026-02-10 17:03:42.874081,"B_Kj7sesOfI","5136","247","19"
2026-02-10 17:03:42.87483,"REW3lRC_86U","0","0","0"
2026-02-11 10:32:25.054572,"B_Kj7sesOfI","6054","281","21"
2026-02-11 10:32:25.059566,"YzOyaPEBfCQ","176","1","0"
2026-02-11 10:32:25.063328,"S8somEkYx2k","1461","62","0"
2026-02-11 10:32:25.068198,"zve5emG2M4c","15306","768","109"
2026-02-11 10:32:25.073604,"0FvUCpRejxI","230","8","4"
2026-02-11 10:32:25.077581,"QlU9gtahQJM","1818","139","9"
2026-02-11 10:32:25.081359,"xNoE16FTPsY","711","22","1"
2026-02-11 10:32:25.0853,"YAe57qhGbqc","3673","82","1"
2026-02-11 10:32:25.089178,"5IRVj86YdDc","19797","909","90"
2026-02-11 10:32:25.092906,"6QsedHMNQZ8","667","15","2"
2026-02-11 10:32:25.096196,"5QX0RdjVXVI","2027","13","1"
2026-02-11 10:32:25.099229,"CgdLmFiYs_w","1381","33","0"
2026-02-11 10:56:58.328728,"B_Kj7sesOfI","6092","282","21"
2026-02-11 10:56:58.333477,"YzOyaPEBfCQ","176","1","0"
2026-02-11 10:56:58.338106,"S8somEkYx2k","1482","62","0"
2026-02-11 10:56:58.342596,"zve5emG2M4c","15306","768","109"
2026-02-11 10:56:58.347705,"0FvUCpRejxI","232","8","4"
2026-02-11 10:56:58.351468,"QlU9gtahQJM","1818","139","9"
2026-02-11 10:56:58.355679,"xNoE16FTPsY","711","22","1"
2026-02-11 10:56:58.360339,"YAe57qhGbqc","3755","83","1"
2026-02-11 10:56:58.365304,"5IRVj86YdDc","19797","909","90"
2026-02-11 10:56:58.369655,"6QsedHMNQZ8","667","15","2"
2026-02-11 10:56:58.373407,"5QX0RdjVXVI","2027","13","1"
2026-02-11 10:56:58.378292,"CgdLmFiYs_w","1373","33","0"
2026-02-11 10:56:58.383248,"_FnZnAn-3EU","871","17","6"
2026-02-11 10:56:58.388087,"jl5UFUWNyd4","1436","21","0"
2026-02-11 13:09:26.37447,"B_Kj7sesOfI","6166","284","21"
2026-02-11 13:09:26.375202,"YzOyaPEBfCQ","176","1","0"
2026-02-11 13:09:26.375731,"S8somEkYx2k","1544","70","0"
2026-02-11 13:09:26.376227,"zve5emG2M4c","15481","773","110"
2026-02-11 13:09:26.376687,"_FnZnAn-3EU","1005","18","7"
2026-02-11 13:09:26.377168,"QlU9gtahQJM","1818","139","9"
2026-02-11 13:09:26.377648,"xNoE16FTPsY","711","22","1"
2026-02-11 13:09:26.378117,"YAe57qhGbqc","4087","89","1"
2026-02-11 13:09:26.378566,"5IRVj86YdDc","19798","909","90"
2026-02-11 13:09:26.37902,"6QsedHMNQZ8","667","15","2"
2026-02-11 13:09:26.379486,"jl5UFUWNyd4","1437","21","0"
2026-02-11 13:09:26.379926,"CgdLmFiYs_w","1385","34","0"
